configuration,sample,started_at,e2e_s,frames,video_duration_s,file_bytes,file_sha256,runtime_revision,run_scope
t2va-5s-c2,r1-c1,2026-09-05T17:11:17.216155+00:00,656.5296401651576,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c2,r2-c0,2026-09-05T17:22:14.050052+00:00,333.14071262581274,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c2,r2-c1,2026-09-05T17:22:14.050376+00:00,656.845077634789,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r0-c0,2026-09-05T17:38:41.349229+00:00,333.11258856393397,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r0-c1,2026-09-05T17:38:41.349737+00:00,659.4819016121328,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r0-c2,2026-09-05T17:38:41.350426+00:00,986.0991542991251,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r0-c3,2026-09-05T17:38:41.351108+00:00,1309.9425941109657,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r1-c0,2026-09-05T18:00:31.603599+00:00,333.2648580111563,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r1-c1,2026-09-05T18:00:31.604080+00:00,659.5961275920272,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r1-c2,2026-09-05T18:00:31.604621+00:00,984.2220668257214,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r1-c3,2026-09-05T18:00:31.605163+00:00,1307.4279163489118,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r2-c0,2026-09-05T18:22:19.338312+00:00,658.2356009962969,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r2-c1,2026-09-05T18:22:19.338575+00:00,332.06380382506177,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r2-c2,2026-09-05T18:22:19.338918+00:00,984.9186628297903,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-5s-c4,r2-c3,2026-09-05T18:22:19.339780+00:00,1308.5939072896726,124,5.166666666666667,3057133,42aae475822c4eca41942973beda4b371abd0247b26289407d57e7c35a432f02,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-zh-5s-c1,r0-c0,2026-09-05T13:37:37.159100+00:00,329.9922141493298,124,5.166666666666667,3762873,ec5644b8a19dc91d51f89b05c92ab74b8a8cc1a5302b8274b2ed5139803b1fe9,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
