engine,configuration,runtime_version,model_storage,execution_period,sample,warmup,status,excluded,e2e_s,frames,file_sha256
sglang,t2va-5s-c2,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c0,False,PASS,False,315.808320838958,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c1,False,PASS,False,631.4228797322139,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,warmup,True,PASS,False,315.6613262798637,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c0,False,PASS,False,315.844374217093,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c1,False,PASS,False,630.7498147659935,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c2,False,PASS,False,946.5826935851946,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c3,False,PASS,False,1261.2188212689944,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c0,False,PASS,False,316.0069635012187,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c1,False,PASS,False,630.9421358369291,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c2,False,PASS,False,945.8399346098304,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c3,False,PASS,False,1261.5269544068724,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c0,False,PASS,False,316.04796150978655,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c1,False,PASS,False,631.0033459002152,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c2,False,PASS,False,945.8844729298726,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c3,False,PASS,False,1261.568898546975,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,warmup,True,PASS,False,315.63822997175157,124,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-zh-5s-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c0,False,PASS,False,315.6320282360539,124,74ac7310c408be307e63aaf73dd6b784e9c5687344062070e5596d90487293e9
sglang,t2va-zh-5s-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,warmup,True,PASS,False,315.64373314008117,124,74ac7310c408be307e63aaf73dd6b784e9c5687344062070e5596d90487293e9
