engine,run_label,case_id,repeats,successful_requests,failed_requests,median_request_throughput,median_output_throughput,median_total_token_throughput,median_p50_ttft_ms,median_p95_ttft_ms,median_p50_tpot_ms,median_p95_tpot_ms,median_p50_e2el_ms,median_p95_e2el_ms
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,ctx-128k-128-c1,3,3,0,0.6366755909390481,81.49447564019816,83450.34305556292,1004.9866987392306,1004.9866987392306,4.449241141986659,4.449241141986659,1570.445206016302,1570.445206016302
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,ctx-256k-128-c1,1,1,0,0.39978842510457024,50.373341563175856,104801.33733376226,1806.8073405884206,1806.8073405884206,5.554205976426601,5.554205976426601,2501.083087641746,2501.083087641746
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,ctx-32k-128-c1,3,9,0,0.7159875178912348,91.64640229007806,23461.478986259983,1190.4006120748818,1198.0004983954132,3.6261803323886994,3.6269377114060593,1650.822666939348,1658.6119467858225
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,ctx-64k-128-c1,3,6,0,0.46586643234777003,59.630903340514564,30531.022510343457,1649.1189594380558,2586.0102235805243,3.9131809777660873,3.914159942806999,2146.380442660302,3083.1212839111686
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,decode-128-1k-c1,3,12,0,0.2832308692634897,290.0284101258135,326.28196139154016,101.3263228815049,102.0811899099499,3.352174238836209,3.352855852707667,3530.331250047311,3531.6072711953893
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,decode-128-1k-c8,3,72,0,1.2671849872395429,1297.597426933292,1459.7971052999535,199.4390874169767,200.93939760699868,6.042229359421445,6.213072053737618,6380.593021865934,6553.98939140141
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,long-16k-256-c4,3,96,0,1.2362002006897297,316.4672513765708,20570.371339477104,1212.926679290831,2070.024761208333,7.312116535453527,10.306660062085617,3277.5692564900964,3304.1650741826743
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,long-16k-256-c8,3,192,0,1.4270253788475329,365.3184969849684,23745.702304022947,2406.042295275256,4069.6264912141487,12.66597933409845,19.53580706015083,5649.513399694115,5688.037464697845
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,rag-4k-128-c4,3,192,0,3.675086917394618,470.4111254265111,15523.567139074867,484.9609197117388,524.8007727088407,4.751278175495741,6.654698735719005,1089.2028126399964,1101.8485247390345
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,rag-4k-128-c8,3,384,0,4.71079147009507,602.981308172169,19898.383169681576,724.1886639967561,989.1071437159553,7.72981107506285,11.408280700217846,1699.5439652819186,1730.3768100915477
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,short-128-64-c1,3,96,0,3.208038797395305,205.31448303329952,615.9434490998985,102.4201640393585,103.21288171689957,3.3194965919450166,3.3219377584164103,311.5714688319713,312.1826962567866
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,short-128-64-c16,3,768,0,24.47679415446635,1566.5148258858464,4699.54447765754,204.20350949279964,208.70272954925895,7.128842067830855,7.434964348148141,653.8427455816418,672.518058330752
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,short-128-64-c4,3,192,0,8.457418619192678,541.2747916283314,1623.824374884994,193.43576882965863,195.40855700615793,4.448681570855634,4.549057763217697,473.73778256587684,477.41482842247933
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,short-128-64-c8,3,384,0,14.199004963884514,908.7363176886089,2726.208953065827,201.39999804086983,202.6070687919855,5.767231991898919,5.966463920822928,564.393209759146,576.595634338446
sglang,ling3-flash-h20-sglang-bf16-tp4-baseline,smoke-128-64-c1,1,4,0,3.1957559977667707,204.52838385707332,613.58515157122,103.52634801529348,105.41112362407148,3.3165846714779494,3.3182170563599187,312.330539803952,314.403716288507
